wl,n
0.35028,1.677
0.35187,1.688
0.35347,1.699
0.35506,1.710
0.35666,1.721
0.35825,1.733
0.35985,1.744
0.36144,1.755
0.36303,1.767
0.36463,1.778
0.36622,1.789
0.36782,1.801
0.36941,1.812
0.37101,1.824
0.37260,1.835
0.37419,1.847
0.37579,1.858
0.37738,1.870
0.37898,1.882
0.38057,1.893
0.38217,1.905
0.38376,1.917
0.38535,1.929
0.38695,1.940
0.38854,1.952
0.39014,1.964
0.39173,1.976
0.39332,1.988
0.39492,2.000
0.39651,2.012
0.39811,2.023
0.39970,2.035
0.40130,2.047
0.40289,2.059
0.40448,2.072
0.40608,2.084
0.40767,2.096
0.40927,2.108
0.41086,2.120
0.41245,2.132
0.41405,2.144
0.41564,2.156
0.41724,2.169
0.41883,2.181
0.42042,2.193
0.42202,2.205
0.42361,2.218
0.42521,2.230
0.42680,2.242
0.42839,2.255
0.42999,2.267
0.43158,2.279
0.43318,2.292
0.43477,2.304
0.43636,2.316
0.43796,2.329
0.43955,2.341
0.44115,2.354
0.44274,2.366
0.44433,2.379
0.44593,2.391
0.44752,2.404
0.44911,2.416
0.45071,2.429
0.45230,2.441
0.45390,2.454
0.45549,2.466
0.45708,2.479
0.45868,2.492
0.46027,2.504
0.46186,2.517
0.46346,2.529
0.46505,2.542
0.46664,2.555
0.46824,2.567
0.46983,2.580
0.47142,2.592
0.47302,2.605
0.47461,2.618
0.47620,2.630
0.47780,2.643
0.47939,2.656
0.48098,2.668
0.48258,2.681
0.48417,2.694
0.48576,2.707
0.48736,2.719
0.48895,2.732
0.49054,2.745
0.49213,2.757
0.49373,2.770
0.49532,2.783
0.49691,2.796
0.49851,2.808
0.50010,2.821
0.50169,2.834
0.50328,2.846
0.50488,2.859
0.50647,2.872
0.50806,2.885
0.50965,2.897
0.51125,2.910
0.51284,2.923
0.51443,2.936
0.51602,2.948
0.51762,2.961
0.51921,2.974
0.52080,2.986
0.52239,2.999
0.52399,3.012
0.52558,3.025
0.52717,3.037
0.52876,3.050
0.53035,3.063
0.53195,3.075
0.53354,3.088
0.53513,3.101
0.53672,3.113
0.53831,3.126
0.53991,3.139
0.54150,3.151
0.54309,3.164
0.54468,3.177
0.54627,3.189
0.54786,3.202
0.54946,3.215
0.55105,3.227
0.55264,3.240
0.55423,3.253
0.55582,3.265
0.55741,3.278
0.55900,3.290
0.56060,3.303
0.56219,3.316
0.56378,3.328
0.56537,3.341
0.56696,3.353
0.56855,3.366
0.57014,3.378
0.57173,3.391
0.57332,3.403
0.57491,3.416
0.57650,3.428
0.57810,3.441
0.57969,3.453
0.58128,3.466
0.58287,3.478
0.58446,3.490
0.58605,3.503
0.58764,3.515
0.58923,3.528
0.59082,3.540
0.59241,3.552
0.59400,3.565
0.59559,3.577
0.59718,3.589
0.59877,3.602
0.60036,3.614
0.60195,3.626
0.60354,3.638
0.60513,3.651
0.60672,3.663
0.60831,3.675
0.60990,3.687
0.61148,3.699
0.61307,3.711
0.61466,3.724
0.61625,3.736
0.61784,3.748
0.61943,3.760
0.62102,3.772
0.62261,3.784
0.62420,3.796
0.62579,3.808
0.62738,3.820
0.62896,3.832
0.63055,3.844
0.63214,3.856
0.63373,3.868
0.63532,3.880
0.63691,3.892
0.63849,3.903
0.64008,3.915
0.64167,3.927
0.64326,3.939
0.64485,3.951
0.64643,3.962
0.64802,3.974
0.64961,3.986
0.65120,3.998
0.65279,4.009
0.65437,4.021
0.65596,4.032
0.65755,4.044
0.65914,4.056
0.66072,4.067
0.66231,4.079
0.66390,4.090
0.66548,4.102
0.66707,4.113
0.66866,4.125
0.67024,4.136
0.67183,4.148
0.67342,4.159
0.67500,4.170
0.67659,4.182
0.67818,4.193
0.67976,4.204
0.68135,4.215
0.68294,4.227
0.68452,4.238
0.68611,4.249
0.68769,4.260
0.68928,4.271
0.69087,4.282
0.69245,4.293
0.69404,4.304
0.69562,4.316
0.69721,4.327
0.69879,4.337
0.70038,4.348
0.70196,4.359
0.70355,4.370
0.70513,4.381
0.70672,4.392
0.70830,4.403
0.70989,4.414
0.71147,4.424
0.71306,4.435
0.71464,4.446
0.71623,4.456
0.71781,4.467
0.71939,4.478
0.72098,4.488
0.72256,4.499
0.72415,4.509
0.72573,4.520
0.72731,4.530
0.72890,4.541
0.73048,4.551
0.73207,4.562
0.73365,4.572
0.73523,4.582
0.73681,4.593
0.73840,4.603
0.73998,4.613
0.74156,4.624
0.74315,4.634
0.74473,4.644
0.74631,4.654
0.74789,4.664
0.74948,4.674
0.75106,4.684
0.75264,4.694
0.75422,4.704
0.75581,4.714
0.75739,4.724
0.75897,4.734
0.76055,4.744
0.76213,4.754
0.76371,4.764
0.76530,4.773
0.76688,4.783
0.76846,4.793
0.77004,4.803
0.77162,4.812
0.77320,4.822
0.77478,4.831
0.77636,4.841
0.77794,4.851
0.77952,4.860
0.78110,4.870
0.78269,4.879
0.78427,4.888
0.78585,4.898
0.78743,4.907
0.78901,4.916
0.79059,4.926
0.79216,4.935
0.79374,4.944
0.79532,4.953
0.79690,4.963
0.79848,4.972
0.80006,4.981
0.80164,4.990
0.80322,4.999
0.80480,5.008
0.80638,5.017
0.80796,5.026
0.80953,5.035
0.81111,5.044
0.81269,5.053
0.81427,5.061
0.81585,5.070
0.81742,5.079
0.81900,5.088
0.82058,5.096
0.82216,5.105
0.82373,5.114
0.82531,5.122
0.82689,5.131
0.82847,5.139
0.83004,5.148
0.83162,5.156
0.83320,5.165
0.83477,5.173
0.83635,5.182
0.83793,5.190
0.83950,5.198
0.84108,5.207
0.84266,5.215
0.84423,5.223
0.84581,5.231
0.84738,5.239
0.84896,5.248
0.85053,5.256
0.85211,5.264
0.85368,5.272
0.85526,5.280
0.85683,5.288
0.85841,5.296
0.85998,5.304
0.86156,5.311
0.86313,5.319
0.86471,5.327
0.86628,5.335
0.86785,5.343
0.86943,5.350
0.87100,5.358
0.87258,5.366
0.87415,5.373
0.87572,5.381
0.87730,5.388
0.87887,5.396
0.88044,5.403
0.88202,5.411
0.88359,5.418
0.88516,5.426
0.88673,5.433
0.88831,5.440
0.88988,5.448
0.89145,5.455
0.89302,5.462
0.89459,5.469
0.89617,5.477
0.89774,5.484
0.89931,5.491
0.90088,5.498
0.90245,5.505
0.90402,5.512
0.90559,5.519
0.90716,5.526
0.90874,5.533
0.91031,5.540
0.91188,5.547
0.91345,5.554
0.91502,5.560
0.91659,5.567
0.91816,5.574
0.91973,5.581
0.92130,5.587
0.92286,5.594
0.92443,5.601
0.92600,5.607
0.92757,5.614
0.92914,5.620
0.93071,5.627
0.93228,5.633
0.93385,5.640
0.93541,5.646
0.93698,5.652
0.93855,5.659
0.94012,5.665
0.94169,5.671
0.94325,5.678
0.94482,5.684
0.94639,5.690
0.94796,5.696
0.94952,5.702
0.95109,5.708
0.95266,5.714
0.95422,5.721
0.95579,5.727
0.95736,5.733
0.95892,5.738
0.96049,5.744
0.96205,5.750
0.96362,5.756
0.96518,5.762
0.96675,5.768
0.96832,5.774
0.96988,5.779
0.97145,5.785
0.97301,5.791
0.97457,5.796
0.97614,5.802
0.97770,5.808
0.97927,5.813
0.98083,5.819
0.98240,5.824
0.98396,5.830
0.98552,5.835
0.98709,5.841
0.98865,5.846
0.99021,5.851
0.99177,5.857
0.99334,5.862
0.99490,5.867
0.99646,5.873
0.99802,5.878
0.99959,5.883
1.0115,5.922
1.0149,5.933
1.0183,5.943
1.0218,5.954
1.0252,5.964
1.0286,5.975
1.0320,5.985
1.0354,5.995
1.0388,6.005
1.0422,6.015
1.0456,6.024
1.0491,6.034
1.0525,6.043
1.0559,6.053
1.0593,6.062
1.0627,6.071
1.0661,6.080
1.0695,6.089
1.0730,6.097
1.0764,6.106
1.0798,6.114
1.0832,6.123
1.0866,6.131
1.0900,6.139
1.0935,6.147
1.0969,6.155
1.1003,6.163
