wl,n
0.4,2.9741437553843
0.4144,2.9223135982385
0.4294,2.8762640966209
0.4449,2.8354753289732
0.461,2.7989916480063
0.4776,2.7664637179516
0.4949,2.7370476928648
0.5128,2.7105617248363
0.5313,2.6866669291409
0.5505,2.6649637081544
0.5704,2.6452350747212
0.591,2.6272860669945
0.6123,2.6109416608924
0.6344,2.595981198
0.6573,2.5822858305746
0.6811,2.5696958584706
0.7057,2.5581710931821
0.7312,2.547577354
0.7576,2.5378408959056
0.7849,2.5288924807131
0.8133,2.5206124649182
0.8427,2.5129833082507
0.8731,2.5059552808434
0.9046,2.4994619829592
0.9373,2.4934482742954
0.9712,2.4878834624759
1.006,2.4827789343855
1.043,2.4779310757522
1.08,2.4735961444182
1.119,2.4695040171968
1.16,2.4656561229618
1.202,2.4621292537919
1.245,2.4588927251033
1.29,2.4558550509284
1.337,2.4530110947984
1.385,2.4504053992272
1.435,2.4479679367498
1.487,2.4456914616884
1.54,2.4436053170626
1.596,2.441622722
1.654,2.4397765453989
1.713,2.438085293
1.775,2.4364833034228
1.839,2.4349923796083
1.906,2.4335844325846
1.975,2.4322754898105
2.046,2.4310575185521
2.12,2.429908186
2.196,2.428837943
2.276,2.4278153628687
2.358,2.4268626519195
2.443,2.4259629325545
2.531,2.4251126067248
2.623,2.4242995603064
2.718,2.4235299825955
2.816,2.4228000315228
2.917,2.4221059775029
3.023,2.4214319714975
3.132,2.4207885075407
3.245,2.4201666520638
3.362,2.4195639764104
3.484,2.4189732913774
3.61,2.4183972875548
3.74,2.4178333488082
3.875,2.4172748444408
4.015,2.4167197087201
4.16,2.4161657754535
4.31,2.4156108057551
4.466,2.41504895
4.627,2.4144815800367
4.794,2.4139028539827
4.968,2.4133070553748
5.147,2.4126986180653
5.333,2.4120682304166
5.525,2.4114167095524
5.725,2.4107345578567
5.932,2.4100223149725
6.146,2.4092770132951
6.368,2.4084920061826
6.598,2.4076638943923
6.836,2.4067891067698
7.083,2.4058600945575
7.339,2.4048726415017
7.604,2.4038222952586
7.879,2.4027002204277
8.163,2.4015053509581
8.458,2.400223618
8.764,2.3988485891336
9.08,2.397378143
9.408,2.3957956769181
9.748,2.3940928675928
10.1,2.3922608008214
10.46,2.3903120107022
10.84,2.3881699822938
11.23,2.3858779729299
11.64,2.3833628755291
12.06,2.3806705565161
12.5,2.377719948
12.95,2.3745597303731
13.42,2.371099456
13.9,2.3673907416335

wl,k
0.4,1.77E-03
0.404,1.67E-03
0.408,1.57E-03
0.412,1.48E-03
0.416,1.38E-03
0.42,1.28E-03
0.424,1.19E-03
0.428,1.09E-03
0.432,9.93E-04
0.436,8.97E-04
0.44,8.00E-04
0.444,7.03E-04
0.448,6.07E-04
0.452,5.10E-04
0.456,4.14E-04
0.46,3.17E-04
0.464,2.21E-04
0.468,1.24E-04
0.472,8.24E-05
0.476,6.68E-05
0.48,5.13E-05
0.484,3.58E-05
0.488,2.47E-05
0.492,2.20E-05
0.496,1.93E-05
0.5,1.66E-05
0.504,1.39E-05
0.508,1.19E-05
0.512,9.82E-06
0.516,7.78E-06
0.52,5.75E-06
0.524,4.66E-06
0.528,4.00E-06
0.532,3.34E-06
0.536,2.69E-06
0.54,2.19E-06
0.544,1.98E-06
0.548,1.77E-06
0.552,1.56E-06
0.556,1.36E-06
0.56,1.27E-06
0.564,1.19E-06
0.568,1.10E-06
0.572,1.02E-06
0.576,9.69E-07
0.58,9.35E-07
0.584,9.01E-07
0.588,8.67E-07
0.592,8.37E-07
0.596,8.13E-07
0.6,7.89E-07
0.604,7.65E-07
0.608,7.42E-07
0.612,7.24E-07
0.616,7.06E-07
0.62,6.89E-07
0.624,6.71E-07
0.628,6.60E-07
0.632,6.53E-07
0.636,6.45E-07
0.64,6.37E-07
0.644,6.37E-07
0.648,6.48E-07
0.652,6.60E-07
0.656,6.71E-07
0.66,6.82E-07
0.664,6.76E-07
0.668,6.69E-07
0.672,6.63E-07
0.676,6.56E-07
0.68,6.60E-07
0.684,6.68E-07
0.688,6.76E-07
0.692,6.84E-07
0.696,6.93E-07
0.7,7.04E-07
0.704,7.15E-07
0.708,7.26E-07
0.712,7.37E-07
0.716,7.44E-07
0.72,7.51E-07
0.724,7.58E-07
0.728,7.64E-07
0.732,7.73E-07
0.736,7.81E-07
0.74,7.90E-07
0.744,7.99E-07
0.748,8.12E-07
0.752,8.31E-07
0.756,8.51E-07
0.76,8.71E-07
0.764,8.89E-07
0.768,8.82E-07
0.772,8.76E-07
0.776,8.69E-07
0.78,8.62E-07
0.784,8.74E-07
0.788,8.92E-07
0.792,9.11E-07
0.796,9.30E-07
0.8,9.47E-07
0.804,9.62E-07
0.808,9.77E-07
0.812,9.91E-07
0.816,1.01E-06
0.82,1.04E-06
0.824,1.07E-06
0.828,1.10E-06
0.832,1.13E-06
0.836,1.13E-06
0.84,1.11E-06
0.844,1.10E-06
0.848,1.09E-06
0.852,1.03E-06
0.856,9.10E-07
0.86,7.88E-07
0.864,6.66E-07
0.868,5.44E-07
0.872,4.17E-07
0.876,2.89E-07
0.88,1.61E-07
0.884,3.32E-08
0.888,0.00E+00
0.9046,0
0.9373,0
0.9712,0
1.006,0
1.043,0
1.08,0
1.119,0
1.16,0
1.202,0
1.245,0
1.29,0
1.337,0
1.385,0
1.435,0
1.487,0
1.54,0
1.596,0
1.654,0
1.713,0
1.775,0
1.839,0
1.906,0
1.975,0
2.046,0
2.12,0
2.196,0
2.276,0
2.358,0
2.443,0
2.531,0
2.623,0
2.718,0
2.816,0
2.917,0
3.023,0
3.132,0
3.245,0
3.362,0
3.484,0
3.61,0
3.74,0
3.875,0
4.015,0
4.16,0
4.31,0
4.466,0
4.627,0
4.794,0
4.968,0
5.147,0
5.333,0
5.525,0
5.725,0
5.932,0
6.146,0
6.368,0
6.598,0
6.836,0
7.083,0
7.339,0
7.604,0
7.879,0
8.163,0
8.458,0
8.764,0
9.08,0
9.408,0
9.748,0
10.1,0
10.46,0
10.84,0
11.23,0
11.64,0
12.06,0
12.5,0
12.95,0
13.42,0
13.9,0
