wl,n
0.1762,1.103
0.1862,1.1451
0.1962,1.2373
0.2062,1.3145
0.2162,1.3831
0.2262,1.4951
0.2362,1.5776
0.2462,1.6576
0.2562,1.7297
0.2662,1.8279
0.2762,1.9288
0.2862,2.0357
0.2962,2.0855
0.3062,2.2144
0.3162,2.3434
0.3262,2.4215
0.3362,2.5222
0.3462,2.6149
0.3562,2.6913
0.3662,2.7757
0.3762,2.8878
0.3862,2.9457
0.3962,3.0391
0.4062,3.1016
0.4162,3.1915
0.4262,3.2704
0.4362,3.3633
0.4462,3.4496
0.4562,3.509
0.4662,3.5689
0.4762,3.6441
0.4862,3.7034
0.4962,3.7563
0.5062,3.8108
0.5162,3.8623
0.5262,3.8951
0.5362,3.9361
0.5462,4.0279
0.5562,4.067
0.5662,4.079
0.5762,4.0899
0.5862,4.1002
0.5962,4.1065
0.6062,4.1167
0.6162,4.1733
0.6262,4.1887
0.6362,4.2041
0.6462,4.2226
0.6562,4.2409
0.6662,4.249
0.6762,4.2619
0.6862,4.2715
0.6962,4.2813
0.7062,4.2951
0.7162,4.3034
0.7262,4.3049
0.7362,4.3091
0.7462,4.3143
0.7562,4.3205
0.7662,4.3259
0.7762,4.3297
0.7862,4.3321
0.7962,4.334
0.8062,4.3353
0.8162,4.3358
0.8262,4.3362
0.8362,4.3361
0.8462,4.3349
0.8562,4.3323
0.8662,4.3315
0.8762,4.3311
0.8862,4.3298
0.8962,4.3279
0.9062,4.3265
0.9162,4.325
0.9262,4.3233
0.9362,4.3212
0.9462,4.3187
0.9562,4.3159
0.9662,4.3128
0.9762,4.3091
0.9862,4.3054
0.9962,4.302
1.0062,4.2986
1.0162,4.295
1.0262,4.2912
1.0362,4.2874
1.0462,4.2835
1.0562,4.2797
1.0662,4.2759
1.0762,4.272
1.0862,4.2675
1.0962,4.2626
1.1062,4.2578
1.1162,4.2528
1.1262,4.2478
1.1362,4.2426
1.1462,4.2373
1.1562,4.2319
1.1662,4.2266
1.1762,4.2214
1.1862,4.2165
1.1962,4.2117
1.2062,4.2069
1.2162,4.2021
1.2262,4.1973
1.2362,4.1925
1.2462,4.1877
1.2562,4.183
1.2662,4.1784
1.2762,4.1738
1.2862,4.1692
1.2962,4.1646
1.3062,4.1599
1.3162,4.1552
1.3262,4.1504
1.3362,4.1456
1.3462,4.1409
1.3562,4.1361
1.3662,4.1314
1.3762,4.1268
1.3862,4.1222
1.3962,4.1176
1.4062,4.113
1.4162,4.1085
1.4262,4.1039
1.4362,4.0993
1.4462,4.0948
1.4562,4.0902
1.4662,4.0855
1.4762,4.0809
1.4862,4.0762
1.4962,4.0716
1.5062,4.067
1.5162,4.0624
1.5262,4.0579
1.5362,4.0534
1.5462,4.0489
1.5562,4.0445
1.5662,4.0402
1.5762,4.0358
1.5862,4.0315
1.5962,4.0272
1.6062,4.0229
1.6162,4.0187
1.6262,4.0145
1.6362,4.0103
1.6462,4.0061
1.6562,4.0019
1.6662,3.9977
1.6762,3.9936
1.6862,3.9896
1.6962,3.9856
1.7062,3.9817
1.7162,3.978
1.7262,3.9743
1.7362,3.9706
1.7462,3.967
1.7562,3.9635
1.7662,3.96
1.7762,3.9566
1.7862,3.9533
1.7962,3.95
1.8062,3.9469
1.8162,3.9438
1.8262,3.9408
1.8362,3.9379
1.8462,3.935
1.8562,3.9322
1.8662,3.9294
1.8762,3.9266
1.8862,3.9238
1.8962,3.9211
1.9062,3.9183
1.9162,3.9156
