wl,n
0.1762,2.4569
0.1862,2.5144
0.1962,2.569
0.2062,2.6208
0.2162,2.6697
0.2262,2.716
0.2362,2.7596
0.2462,2.8008
0.2562,2.8396
0.2662,2.876
0.2762,2.9103
0.2862,2.9424
0.2962,2.9724
0.3062,3.0004
0.3162,3.0265
0.3262,3.0508
0.3362,3.0732
0.3462,3.094
0.3562,3.113
0.3662,3.1304
0.3762,3.1463
0.3862,3.1614
0.3962,3.1765
0.4062,3.1912
0.4162,3.2055
0.4262,3.219
0.4362,3.2315
0.4462,3.2426
0.4562,3.2521
0.4662,3.2596
0.4762,3.2649
0.4862,3.2675
0.4962,3.2671
0.5062,3.2634
0.5162,3.2559
0.5262,3.2442
0.5362,3.2283
0.5462,3.2101
0.5562,3.1902
0.5662,3.1685
0.5762,3.1452
0.5862,3.1204
0.5962,3.0943
0.6062,3.0669
0.6162,3.0385
0.6262,3.009
0.6362,2.9787
0.6462,2.9476
0.6562,2.9161
0.6662,2.8841
0.6762,2.852
0.6862,2.8199
0.6962,2.7872
0.7062,2.7525
0.7162,2.7161
0.7262,2.6781
0.7362,2.6387
0.7462,2.5983
0.7562,2.5572
0.7662,2.5157
0.7762,2.474
0.7862,2.4326
0.7962,2.3917
0.8062,2.3518
0.8162,2.3132
0.8262,2.2764
0.8362,2.2416
0.8462,2.2091
0.8562,2.1778
0.8662,2.1472
0.8762,2.1171
0.8862,2.0877
0.8962,2.059
0.9062,2.0311
0.9162,2.0038
0.9262,1.9773
0.9362,1.9515
0.9462,1.9265
0.9562,1.9022
0.9662,1.8785
0.9762,1.8556
0.9862,1.8334
0.9962,1.8117
1.0062,1.7909
1.0162,1.771
1.0262,1.752
1.0362,1.7339
1.0462,1.7166
1.0562,1.7002
1.0662,1.6845
1.0762,1.6696
1.0862,1.6555
1.0962,1.642
1.1062,1.6293
1.1162,1.6172
1.1262,1.6057
1.1362,1.5949
1.1462,1.5846
1.1562,1.5749
1.1662,1.5664
1.1762,1.5589
1.1862,1.5524
1.1962,1.5469
1.2062,1.5423
1.2162,1.5384
1.2262,1.5352
1.2362,1.5326
1.2462,1.5305
1.2562,1.5289
1.2662,1.5276
1.2762,1.5267
1.2862,1.526
1.2962,1.5255
1.3062,1.5251
1.3162,1.525
1.3262,1.5253
1.3362,1.5262
1.3462,1.5276
1.3562,1.5293
1.3662,1.5314
1.3762,1.5339
1.3862,1.5368
1.3962,1.5399
1.4062,1.5433
1.4162,1.5469
1.4262,1.5507
1.4362,1.5547
1.4462,1.5589
1.4562,1.5632
1.4662,1.5676
1.4762,1.5722
1.4862,1.577
1.4962,1.582
1.5062,1.5872
1.5162,1.5927
1.5262,1.5983
1.5362,1.6042
1.5462,1.6103
1.5562,1.6166
1.5662,1.6232
1.5762,1.63
1.5862,1.637
1.5962,1.6443
1.6062,1.6518
1.6162,1.6596
1.6262,1.6677
1.6362,1.6763
1.6462,1.6853
1.6562,1.6947
1.6662,1.7043
1.6762,1.7143
1.6862,1.7244
1.6962,1.7348
1.7062,1.7452
1.7162,1.7557
1.7262,1.7663
1.7362,1.7769
1.7462,1.7874
1.7562,1.7978
1.7662,1.8081
1.7762,1.8182
1.7862,1.8282
1.7962,1.8382
1.8062,1.8482
1.8162,1.8582
1.8262,1.8681
1.8362,1.8781
1.8462,1.8881
1.8562,1.8982
1.8662,1.9084
1.8762,1.9186
1.8862,1.929
1.8962,1.9395
1.9062,1.9501
1.9162,1.9608
1.9262,1.9718
1.9362,1.9829
1.9462,1.9941
1.9562,2.0055
1.9662,2.017
1.9762,2.0286
1.9862,2.0403
1.9962,2.0521
2.0062,2.0641
2.0162,2.0761
2.0262,2.0883
2.0362,2.1005
2.0462,2.1128
2.0562,2.1252
2.0662,2.1377
2.0762,2.1502
2.0862,2.1628
2.0962,2.1756
2.1062,2.1886
2.1162,2.2016
2.1262,2.2148
2.1362,2.2282
2.1462,2.2416
2.1562,2.2551
2.1662,2.2686
2.1762,2.2822
2.1862,2.2959
2.1962,2.3095
2.2062,2.3232
2.2162,2.3368
2.2262,2.3504
2.2362,2.3639
2.2462,2.3775
2.2562,2.391
2.2662,2.4045
2.2762,2.4181
2.2862,2.4317
2.2962,2.4453
2.3062,2.4589
2.3162,2.4725
2.3262,2.4862
2.3362,2.4999
2.3462,2.5136
2.3562,2.5273
2.3662,2.5411
2.3762,2.5549
2.3862,2.5687
2.3962,2.5826
2.4062,2.5965
2.4162,2.6105
2.4262,2.6244
2.4362,2.6384
2.4462,2.6524
2.4562,2.6665
2.4662,2.6806
2.4762,2.6948
2.4862,2.7089
2.4962,2.7231
2.5062,2.7374
2.5162,2.7517
2.5262,2.766
2.5362,2.7804
2.5462,2.7949
2.5562,2.8093
2.5662,2.8239
2.5762,2.8385
2.5862,2.8531
2.5962,2.8678
2.6062,2.8826
2.6162,2.8974
2.6262,2.9122
2.6362,2.9271
2.6462,2.942
