wl,n
1.6,0.48901
1.61,0.49225
1.62,0.49559
1.63,0.49907
1.64,0.50293
1.65,0.50712
1.66,0.51155
1.67,0.5161
1.68,0.52066
1.69,0.52515
1.7,0.52945
1.71,0.53346
1.72,0.5371
1.73,0.54031
1.74,0.54321
1.75,0.54586
1.76,0.54836
1.77,0.55077
1.78,0.55317
1.79,0.55563
1.8,0.55822
1.81,0.561
1.82,0.56405
1.83,0.56725
1.84,0.57055
1.85,0.57397
1.86,0.57749
1.87,0.58112
1.88,0.58487
1.89,0.58873
1.9,0.5927
1.91,0.59679
1.92,0.60106
1.93,0.60563
1.94,0.61045
1.95,0.61542
1.96,0.62049
1.97,0.62557
1.98,0.63059
1.99,0.63548
2,0.64016
2.01,0.64457
2.02,0.64878
2.03,0.65287
2.04,0.65685
2.05,0.66074
2.06,0.66455
2.07,0.66829
2.08,0.67199
2.09,0.67564
2.1,0.67927
2.11,0.68286
2.12,0.68635
2.13,0.68975
2.14,0.69308
2.15,0.69638
2.16,0.69967
2.17,0.70297
2.18,0.70633
2.19,0.70976
2.2,0.71329
2.21,0.7169
2.22,0.72059
2.23,0.72434
2.24,0.72814
2.25,0.73197
2.26,0.73582
2.27,0.73969
2.28,0.74354
2.29,0.74738
2.3,0.75118
2.31,0.7549
2.32,0.75855
2.33,0.76217
2.34,0.76578
2.35,0.76942
2.36,0.77312
2.37,0.77691
2.38,0.78081
2.39,0.78486
2.4,0.78915
2.41,0.79372
2.42,0.79851
2.43,0.80342
2.44,0.80839
2.45,0.81334
2.46,0.8182
2.47,0.8229
2.48,0.82736
2.49,0.8315
2.5,0.83527
2.51,0.83874
2.52,0.842
2.53,0.84517
2.54,0.84834
2.55,0.85163
2.56,0.85512
2.57,0.85892
2.58,0.86312
2.59,0.86798
2.6,0.87383
2.61,0.88041
2.62,0.88743
2.63,0.89462
2.64,0.90169
2.65,0.90838
2.66,0.91442
2.67,0.91954
2.68,0.92348
2.69,0.92643
2.7,0.92874
2.71,0.93057
2.72,0.9321
2.73,0.93352
2.74,0.935
2.75,0.93671
2.76,0.93882
2.77,0.9415
2.78,0.94496
2.79,0.94937
2.8,0.95456
2.81,0.96037
2.82,0.96659
2.83,0.97304
2.84,0.97955
2.85,0.98592
2.86,0.992
2.87,0.9976
2.88,1.0028
2.89,1.0078
2.9,1.0127
2.91,1.0175
2.92,1.0223
2.93,1.0271
2.94,1.0319
2.95,1.0368
2.96,1.0418
2.97,1.0471
2.98,1.0524
2.99,1.0579
3,1.0635
3.01,1.0692
3.02,1.0749
3.03,1.0806
3.04,1.0863
3.05,1.0919
3.06,1.0974
3.07,1.1029
3.08,1.1086
3.09,1.1143
3.1,1.1201
3.11,1.1257
3.12,1.1311
3.13,1.1363
3.14,1.1411
3.15,1.1454
3.16,1.1491
3.17,1.1522
3.18,1.1548
3.19,1.157
3.2,1.159
3.21,1.1609
3.22,1.163
3.23,1.1654
3.24,1.1682
3.25,1.1717
3.26,1.1759
3.27,1.181
3.28,1.1868
3.29,1.1932
3.3,1.1999
3.31,1.2068
3.32,1.2137
3.33,1.2205
3.34,1.227
3.35,1.233
3.36,1.2387
3.37,1.2442
3.38,1.2497
3.39,1.2551
3.4,1.2604
3.41,1.2657
3.42,1.2711
3.43,1.2765
3.44,1.2819
3.45,1.2875
3.46,1.2931
3.47,1.2989
3.48,1.3046
3.49,1.3104
3.5,1.3161
3.51,1.3218
3.52,1.3274
3.53,1.3329
3.54,1.3382
3.55,1.3432
3.56,1.3481
3.57,1.3529
3.58,1.3576
3.59,1.3622
3.6,1.3669
3.61,1.3716
3.62,1.3765
3.63,1.3816
3.64,1.3868
3.65,1.3925
3.66,1.3983
3.67,1.4043
3.68,1.4104
3.69,1.4165
3.7,1.4225
3.71,1.4283
3.72,1.4339
3.73,1.439
3.74,1.4438
3.75,1.4483
3.76,1.4526
3.77,1.4567
3.78,1.4607
3.79,1.4646
3.8,1.4686
3.81,1.4727
3.82,1.4769
3.83,1.4813
3.84,1.4858
3.85,1.4904
3.86,1.495
3.87,1.4998
3.88,1.5046
3.89,1.5096
3.9,1.5147
3.91,1.52
3.92,1.5255
3.93,1.5312
3.94,1.5373
3.95,1.5437
3.96,1.5502
3.97,1.5568
3.98,1.5634
3.99,1.5698
4,1.5761
4.01,1.582
4.02,1.5875
4.03,1.5927
4.04,1.5977
4.05,1.6024
4.06,1.6071
4.07,1.6116
4.08,1.6161
4.09,1.6206
4.1,1.6251
4.11,1.6297
4.12,1.6343
4.13,1.6388
4.14,1.6432
4.15,1.6475
4.16,1.6519
4.17,1.6562
4.18,1.6607
4.19,1.6654
4.2,1.6702
4.21,1.6753
4.22,1.6807
4.23,1.6863
4.24,1.6923
4.25,1.6983
4.26,1.7045
4.27,1.7108
4.28,1.7171
4.29,1.7234
4.3,1.7295
4.31,1.7356
4.32,1.7416
4.33,1.7475
4.34,1.7534
4.35,1.7594
4.36,1.7653
4.37,1.7713
4.38,1.7774
4.39,1.7835
4.4,1.7897
4.41,1.7961
4.42,1.8028
4.43,1.8095
4.44,1.8163
4.45,1.8232
4.46,1.8301
4.47,1.8369
4.48,1.8435
4.49,1.85
4.5,1.8563
4.51,1.8623
4.52,1.8682
4.53,1.8739
4.54,1.8796
4.55,1.8852
4.56,1.8908
4.57,1.8964
4.58,1.9021
4.59,1.9079
4.6,1.9138
4.61,1.9198
4.62,1.9258
4.63,1.9319
4.64,1.9381
4.65,1.9442
4.66,1.9504
4.67,1.9566
4.68,1.9629
4.69,1.9691
4.7,1.9753
4.71,1.9815
4.72,1.9878
4.73,1.994
4.74,2.0003
4.75,2.0065
4.76,2.0126
4.77,2.0187
4.78,2.0247
4.79,2.0306
4.8,2.0365
4.81,2.0423
4.82,2.048
4.83,2.0537
4.84,2.0593
4.85,2.0649
4.86,2.0705
4.87,2.076
4.88,2.0815
4.89,2.087
4.9,2.0924
4.91,2.0977
4.92,2.1031
