wl,n
0.5000,2.693
0.5200,2.650
0.5400,2.620
0.5600,2.596
0.5800,2.578
0.6000,2.560
0.6200,2.548
0.6400,2.537
0.6600,2.528
0.6800,2.521
0.7000,2.516
0.7200,2.510
0.7400,2.504
0.7600,2.497
0.7800,2.489
0.8000,2.482
0.8200,2.476
0.8400,2.470
0.8600,2.468
0.8800,2.466
0.9000,2.464
0.9200,2.464
0.9400,2.464
0.9600,2.462
0.9800,2.461
1.0000,2.460
1.0200,2.459
1.0400,2.459
1.0600,2.458
1.0800,2.458
1.1000,2.458
1.1200,2.457
1.1400,2.456
1.1600,2.456
1.1800,2.454
1.2000,2.454
1.2200,2.453
1.2400,2.452
1.2600,2.451
1.2800,2.450
1.3000,2.449
1.3200,2.449
1.3400,2.448
1.3600,2.448
1.3800,2.447
1.4000,2.447
1.4200,2.446
1.4400,2.445
1.4600,2.445
1.4800,2.444
1.5000,2.444
1.5200,2.444
1.5400,2.443
1.5600,2.441
1.5800,2.441
1.6000,2.440
1.6200,2.439
1.6400,2.439
1.6600,2.438
1.6800,2.438
1.7000,2.437
1.7200,2.437
1.7400,2.436
1.7600,2.436
1.7800,2.435
1.8000,2.435
1.8200,2.434
1.8400,2.433
1.8600,2.432
1.8800,2.432
1.9000,2.432
1.9200,2.432
1.9400,2.431
1.9600,2.431
1.9800,2.431
2.0000,2.431
2.0200,2.430
2.0400,2.429
2.0600,2.428
2.0800,2.428
2.1000,2.428
2.1200,2.427
2.1400,2.427
2.1600,2.426
2.1800,2.426
2.2000,2.425
2.2200,2.426
2.2400,2.425
2.2600,2.425
2.2800,2.424
2.3000,2.424
2.3200,2.424
2.3400,2.424
2.3600,2.423
2.3800,2.423
2.4000,2.423
2.4200,2.422
2.4400,2.422
2.4600,2.422
2.4800,2.422
2.5000,2.421
2.5126,2.421
2.5253,2.421
2.5381,2.421
2.5510,2.421
2.5641,2.421
2.5773,2.421
2.5907,2.421
2.6042,2.421
2.6178,2.420
2.6316,2.420
2.6455,2.420
2.6596,2.420
2.6738,2.420
2.6882,2.419
2.7027,2.419
2.7174,2.419
2.7322,2.419
2.7473,2.419
2.7624,2.419
2.7778,2.418
2.7933,2.418
2.8090,2.418
2.8249,2.418
2.8409,2.419
2.8571,2.418
2.8736,2.418
2.8902,2.418
2.9070,2.418
2.9240,2.417
2.9412,2.417
2.9586,2.417
2.9762,2.416
2.9940,2.417
3.0120,2.416
3.0303,2.416
3.0488,2.416
3.0675,2.416
3.0864,2.416
3.1056,2.416
3.1250,2.416
3.1447,2.415
3.1646,2.415
3.1847,2.415
3.2051,2.414
3.2258,2.414
3.2468,2.414
3.2680,2.413
3.2895,2.414
3.3113,2.413
3.3333,2.413
3.3557,2.414
3.3784,2.414
3.4014,2.416
3.4247,2.415
3.4483,2.414
3.4722,2.414
3.4965,2.414
3.5211,2.414
3.5461,2.413
3.5714,2.413
3.5971,2.413
3.6232,2.413
3.6496,2.413
3.6765,2.414
3.7037,2.414
3.7313,2.414
3.7594,2.413
3.7879,2.413
3.8168,2.414
3.8462,2.414
3.8760,2.414
3.9063,2.414
3.9370,2.414
3.9683,2.415
4.0000,2.416
4.0323,2.414
4.0650,2.416
4.0984,2.417
4.1322,2.416
4.1667,2.417
4.2017,2.417
4.2373,2.417
4.2735,2.417
4.3103,2.417
4.3478,2.416
4.3860,2.416
4.4248,2.416
4.4643,2.416
4.5045,2.415
4.5455,2.415
4.5872,2.415
4.6296,2.415
4.6729,2.415
4.7170,2.415
4.7619,2.415
4.8077,2.415
4.8544,2.415
4.9020,2.415
4.9505,2.415
5.0000,2.415
5.0505,2.415
5.1020,2.415
5.1546,2.415
5.2083,2.415
5.2632,2.415
5.3191,2.415
5.3763,2.415
5.4348,2.415
5.4945,2.415
5.5556,2.414
5.6180,2.414
5.6818,2.414
5.7471,2.414
5.8140,2.414
5.8824,2.413
5.9524,2.413
6.0241,2.413
6.0976,2.413
6.1728,2.413
6.2500,2.413
6.3291,2.413
6.4103,2.413
6.4935,2.413
6.5789,2.412
6.6667,2.412
6.7568,2.411
6.8493,2.411
6.9444,2.411
7.0423,2.410
7.1429,2.410
7.2464,2.409
7.3529,2.409
7.4627,2.409
7.5758,2.408
7.6923,2.408
7.8125,2.407
7.9365,2.406
8.0645,2.406
8.1967,2.406
8.3333,2.405
8.4746,2.404
8.6207,2.404
8.7719,2.403
8.9286,2.402
9.0909,2.401
9.2593,2.401
9.4340,2.401
9.6154,2.400
9.8039,2.399
10.0000,2.399
10.2041,2.398
10.4167,2.397
10.6383,2.395
10.8696,2.395
11.1111,2.393
11.3636,2.392
11.6279,2.390
11.9048,2.388
12.1951,2.387
12.5000,2.384
12.8205,2.382
13.1579,2.379
13.5135,2.376
13.8889,2.373
14.2857,2.369
14.7059,2.366
15.1515,2.362
15.6250,2.357
16.1290,2.351
16.6667,2.345
17.2414,2.337
17.8571,2.328
18.5185,2.317
19.2308,2.304
20.0000,2.291
20.8333,2.275
21.7391,2.257

wl,k
0.5000,0.0000121
0.5200,0.0000043
0.5400,0.0000015
0.5600,0.0000008
0.5800,0.0000006
0.6000,0.0000005
0.6200,0.0000004
0.6400,0.0000004
0.6600,0.0000004
0.6800,0.0000003
0.7000,0.0000003
0.7200,0.0000003
0.7400,0.0000003
0.7600,0.0000003
0.7800,0.0000003
0.8000,0.0000003
0.8200,0.0000002
0.8400,0.0000002
0.8600,0.0000002
0.8800,0.0000002
0.9000,0.0000002
0.9200,0.0000002
0.9400,0.0000002
0.9600,0.0000002
0.9800,0.0000002
1.0000,0.0000002
1.0200,0.0000001
1.0400,0.0000001
1.0600,0.0000001
1.0800,0.0000001
1.1000,0.0000001
1.1200,0.0000001
1.1400,0.0000001
1.1600,0.0000001
1.1800,0.0000001
1.2000,0.0000001
1.2200,0.0000001
1.2400,0.0000001
1.2600,0.0000001
1.2800,0.0000001
1.3000,0.0000000
1.3200,0.0000000
1.3400,0.0000000
1.3600,0.0000000
1.3800,0.0000000
1.4000,0.0000000
1.4200,0.0000000
1.4400,0.0000000
1.4600,0.0000000
1.4800,0.0000000
1.5000,0.0000000
1.5200,0.0000000
1.5400,0.0000000
1.5600,0.0000000
1.5800,0.0000000
1.6000,0.0000000
1.6200,0.0000000
1.6400,0.0000000
1.6600,0.0000000
1.6800,0.0000000
1.7000,0.0000000
1.7200,0.0000000
1.7400,0.0000000
1.7600,0.0000000
1.7800,0.0000000
1.8000,0.0000000
1.8200,0.0000000
1.8400,0.0000000
1.8600,0.0000000
1.8800,0.0000000
1.9000,0.0000000
1.9200,0.0000000
1.9400,0.0000000
1.9600,0.0000000
1.9800,0.0000000
2.0000,0.0000000
2.0200,0.0000000
2.0400,0.0000000
2.0600,0.0000000
2.0800,0.0000000
2.1000,0.0000000
2.1200,0.0000000
2.1400,0.0000000
2.1600,0.0000000
2.1800,0.0000000
2.2000,0.0000000
2.2200,0.0000000
2.2400,0.0000000
2.2600,0.0000000
2.2800,0.0000000
2.3000,0.0000000
2.3200,0.0000000
2.3400,0.0000000
2.3600,0.0000000
2.3800,0.0000000
2.4000,0.0000000
2.4200,0.0000000
2.4400,0.0000000
2.4600,0.0000000
2.4800,0.0000000
2.5000,0.0000000
2.5126,0.0000000
2.5253,0.0000000
2.5381,0.0000000
2.5510,0.0000000
2.5641,0.0000000
2.5773,0.0000000
2.5907,0.0000000
2.6042,0.0000000
2.6178,0.0000000
2.6316,0.0000000
2.6455,0.0000000
2.6596,0.0000000
2.6738,0.0000000
2.6882,0.0000000
2.7027,0.0000000
2.7174,0.0000000
2.7322,0.0000000
2.7473,0.0000000
2.7624,0.0000000
2.7778,0.0000000
2.7933,0.0000000
2.8090,0.0000000
2.8249,0.0000000
2.8409,0.0000000
2.8571,0.0000000
2.8736,0.0000000
2.8902,0.0000000
2.9070,0.0000000
2.9240,0.0000000
2.9412,0.0000000
2.9586,0.0000000
2.9762,0.0000000
2.9940,0.0000000
3.0120,0.0000000
3.0303,0.0000000
3.0488,0.0000000
3.0675,0.0000000
3.0864,0.0000000
3.1056,0.0000000
3.1250,0.0000000
3.1447,0.0000000
3.1646,0.0000000
3.1847,0.0000000
3.2051,0.0000000
3.2258,0.0000000
3.2468,0.0000000
3.2680,0.0000000
3.2895,0.0000000
3.3113,0.0000000
3.3333,0.0000000
3.3557,0.0000000
3.3784,0.0000000
3.4014,0.0000000
3.4247,0.0000000
3.4483,0.0000000
3.4722,0.0000000
3.4965,0.0000000
3.5211,0.0000000
3.5461,0.0000000
3.5714,0.0000000
3.5971,0.0000000
3.6232,0.0000000
3.6496,0.0000000
3.6765,0.0000000
3.7037,0.0000000
3.7313,0.0000000
3.7594,0.0000000
3.7879,0.0000000
3.8168,0.0000000
3.8462,0.0000000
3.8760,0.0000000
3.9063,0.0000000
3.9370,0.0000000
3.9683,0.0000000
4.0000,0.0000000
4.0323,0.0000000
4.0650,0.0000000
4.0984,0.0000000
4.1322,0.0000000
4.1667,0.0000000
4.2017,0.0000000
4.2373,0.0000001
4.2735,0.0000001
4.3103,0.0000001
4.3478,0.0000001
4.3860,0.0000002
4.4248,0.0000002
4.4643,0.0000002
4.5045,0.0000002
4.5455,0.0000002
4.5872,0.0000003
4.6296,0.0000003
4.6729,0.0000003
4.7170,0.0000003
4.7619,0.0000003
4.8077,0.0000003
4.8544,0.0000004
4.9020,0.0000004
4.9505,0.0000004
5.0000,0.0000004
5.0505,0.0000004
5.1020,0.0000004
5.1546,0.0000004
5.2083,0.0000004
5.2632,0.0000005
5.3191,0.0000005
5.3763,0.0000005
5.4348,0.0000005
5.4945,0.0000005
5.5556,0.0000005
5.6180,0.0000005
5.6818,0.0000006
5.7471,0.0000006
5.8140,0.0000006
5.8824,0.0000006
5.9524,0.0000007
6.0241,0.0000009
6.0976,0.0000011
6.1728,0.0000012
6.2500,0.0000010
6.3291,0.0000008
6.4103,0.0000008
6.4935,0.0000008
6.5789,0.0000007
6.6667,0.0000007
6.7568,0.0000007
6.8493,0.0000007
6.9444,0.0000008
7.0423,0.0000007
7.1429,0.0000008
7.2464,0.0000008
7.3529,0.0000008
7.4627,0.0000008
7.5758,0.0000008
7.6923,0.0000008
7.8125,0.0000009
7.9365,0.0000009
8.0645,0.0000008
8.1967,0.0000009
8.3333,0.0000009
8.4746,0.0000009
8.6207,0.0000009
8.7719,0.0000010
8.9286,0.0000010
9.0909,0.0000011
9.2593,0.0000010
9.4340,0.0000010
9.6154,0.0000011
9.8039,0.0000011
10.0000,0.0000009
10.2041,0.0000009
10.4167,0.0000009
10.6383,0.0000009
10.8696,0.0000008
11.1111,0.0000008
11.3636,0.0000008
11.6279,0.0000008
11.9048,0.0000008
12.1951,0.0000007
12.5000,0.0000008
12.8205,0.0000007
13.1579,0.0000007
13.5135,0.0000011
13.8889,0.0000017
14.2857,0.0000034
14.7059,0.0000066
15.1515,0.0000152
15.6250,0.0000322
16.1290,0.0000560
16.6667,0.0000555
17.2414,0.0000783
17.8571,0.0000839
18.5185,0.0001019
19.2308,0.0001839
20.0000,0.0004232
20.8333,0.0007723
21.7391,0.0013358
